,ID paticle,x (kpc),y (kpc),z (kpc),vx (km/s),vy (km/s),vz (km/s),mass (M_sun),Z,age (yr),flag,abund_He (M_sun),abund_C (M_sun),abund_Mg (M_sun),abund_O (M_sun),abund_Fe (M_sun),abund_Si (M_sun),abund_H (M_sun),abund_N (M_sun),abund_Ne (M_sun),abund_S (M_sun),abund_Ca (M_sun),abund_Zi (M_sun),distance_star_gas(kpc),CIELOidx_closest_gas_particle
954,3645425,0.07420414,0.2536741,0.22062066,-2.6347253,-3.6818564,4.0228047,125273.055,0.0071054613,4606459617.614746,0.0,30910.793,76.578835,15.615639,500.896,122.5565,76.24989,93472.14,1.9774375,50.374992,40.129025,5.4379683,0.30655408,0.16294263774220175,2150586850
955,3201185,0.10733424,0.25112957,0.2439417,16.699535,-2.1570153,-12.6296425,118797.09,6.2567866e-05,2093879699.7070312,0.0,28509.518,0.33324152,0.058644988,0.98661566,4.3121314,1.0625091,90280.14,8.003316e-06,0.013936808,0.5836901,0.082102984,0.0,0.1795176038484066,2150586850
956,2944325,0.04005979,0.28187293,0.2486487,-13.238058,-40.19956,-32.48547,121095.63,0.0021806653,10292607307.434082,0.0,29380.125,25.07734,5.1457796,171.45547,12.845257,19.612576,91451.44,0.6210957,17.69366,10.152621,1.3582803,0.1069287,0.17849468348762793,2150586850
957,2150527694,0.043722004,0.3361671,0.2964792,-8.970408,-21.61316,-11.97733,122090.28,0.0028236262,10240209579.467773,0.0,29764.766,34.971924,6.86208,225.04538,14.362012,25.755848,91980.77,0.29710552,22.08663,13.391444,1.8558854,0.10895171,0.13441134022176768,2146202
958,2798033,0.04101734,0.43295535,0.24806985,-15.569187,3.4653065,3.6149185,119273.67,0.0010968681,5121762275.695801,0.0,28659.346,8.106591,1.562739,40.885162,51.661594,15.55992,90483.5,0.12968339,3.2895339,8.4387,1.1736329,0.019932061,0.07967216978116692,2146202
959,3449110,0.0189306,0.4216456,0.3174701,-15.210751,5.2094545,-3.8743758,139083.86,0.016210709,6158683300.018311,0.0,36223.164,219.95386,44.368507,1420.5682,139.18517,174.29764,100606.05,4.6338124,147.33226,90.93423,12.57536,0.7987674,0.08734642523729996,2146202
960,3345889,0.15477517,0.5015076,0.29808336,-17.736824,33.65795,8.696521,123062.016,0.0024395827,8546836853.027344,0.0,30146.09,37.693146,6.2973995,180.42026,19.639908,22.620888,92615.7,0.08121655,19.911451,11.662846,1.7671081,0.12577695,0.07245014929870056,2146202
961,3295436,0.14339371,0.516819,0.2688135,-32.529854,6.5634403,10.542503,127035.08,0.007837709,1840000152.5878906,0.0,31626.773,91.898384,19.228765,635.5093,58.745205,75.11179,94412.63,2.9991176,67.63073,38.927937,5.1780124,0.43477288,0.08043458134227358,2146202
962,3649127,0.34645605,0.73439765,0.3495475,-33.52466,33.110798,0.12039423,122190.81,0.003207199,7425890445.7092285,0.0,29783.848,37.301075,7.1588354,229.16512,44.058414,32.55521,92015.08,0.23000944,21.82863,17.104862,2.375503,0.11259699,0.12128261743890731,2150928891
963,2151233258,0.31670678,0.62186867,0.34812564,-22.381771,-44.731266,-9.402004,119143.67,0.00037168895,6005353450.7751465,0.0,28639.828,3.975961,0.77944,24.574854,6.3508277,3.8707683,90459.55,0.042763144,2.3478673,2.0462153,0.28361475,0.012074305,0.191525827728597,7031709
964,2150428750,0.31366402,0.7023787,0.47900537,-1.2220736,29.551407,22.438883,140090.42,0.017345604,10212882995.605469,0.0,36610.285,233.23021,47.611736,1590.7627,104.7618,178.29422,101050.19,5.526204,164.34871,92.105835,12.303435,1.0084074,0.18053464575180217,2150928891
