,ID paticle,x (kpc),y (kpc),z (kpc),vx (km/s),vy (km/s),vz (km/s),mass (M_sun),Z,age (yr),flag,abund_He (M_sun),abund_C (M_sun),abund_Mg (M_sun),abund_O (M_sun),abund_Fe (M_sun),abund_Si (M_sun),abund_H (M_sun),abund_N (M_sun),abund_Ne (M_sun),abund_S (M_sun),abund_Ca (M_sun),abund_Zi (M_sun),distance_star_gas(kpc),CIELOidx_closest_gas_particle
790,28070190,0.18199421,-1.2719661,-0.33722478,18.656248,24.556356,10.262167,16110.325,0.00015026063,3609830856.323242,0.0,3867.5723,0.16663581,0.03253966,0.9253567,0.7850534,0.26572376,12240.331,0.0022665337,0.07961271,0.14327781,0.019838482,0.00044253186,0.1466275327667282,28071739
791,27442501,0.3440092,-1.1322173,-0.28283748,-7.4475384,0.2233905,-8.424132,16776.488,0.005018239,3671248435.974121,0.0,4116.842,7.6468434,1.5138544,47.491505,11.146096,7.204428,12575.456,0.11414449,4.7209253,3.7994645,0.5261413,0.02502706,0.1677868573399142,28071739
792,27831078,0.1452102,-1.2269566,-0.22350262,-22.132282,23.524843,-5.5584965,16463.115,0.002824062,7369794368.7438965,0.0,3999.6455,4.1522465,0.83786017,27.194613,5.371118,3.8378582,12416.975,0.07941372,2.7180552,2.013137,0.27280116,0.01575878,0.13854801489551222,28071739
793,27828046,0.14563817,-0.97217554,-0.27455744,-5.6410375,24.663218,10.341635,16313.738,0.0012798402,7203387260.437012,0.0,3945.4856,2.2029974,0.42031252,11.634809,2.4137733,1.8502374,12347.376,0.011589589,1.2049447,0.98807764,0.14901114,0.0032280623,0.016572784936143108,27691822
794,27392523,0.33760315,-0.96106476,-0.237526,18.730997,-12.015211,-7.808207,16189.893,0.00056703814,4171496391.2963867,0.0,3898.5186,0.9425949,0.18990049,5.8825803,0.39777422,0.6998667,12282.193,0.018132241,0.6284686,0.3659302,0.05208314,0.0029552781,0.13816202820947002,27574434
795,2175345342,0.22184446,-0.96598834,-0.41309983,17.654232,1.6160648,1.3424282,16472.557,0.0026565376,11662531852.722168,0.0,4000.386,3.9394524,0.8130315,26.751171,3.8867981,3.4632423,12428.41,0.097040705,2.742238,1.8081819,0.24254557,0.01626273,0.11178981741990401,28142863
796,28093784,0.23416902,-0.95508194,-0.36365068,-14.440083,24.83134,8.449635,18429.3,1.3773799e-05,13200884819.030762,0.0,4422.971,0.011380584,0.002002794,0.033694066,0.14726427,0.03628592,14006.075,2.733225e-07,0.00047595816,0.019933691,0.0028039117,0.0,0.11777201613807806,27691822
797,28003088,0.16776814,-0.7822853,-0.4182303,20.989248,12.169161,9.907312,16386.744,0.0021235384,9738910675.048828,0.0,3971.8582,3.224727,0.64464927,21.33531,3.0772579,2.7593064,12380.088,0.038263436,2.0698977,1.4420274,0.19535555,0.011090043,0.2130249547276408,2175459584
798,27860783,0.14818162,-0.6785376,-0.31280088,-24.517693,8.662119,11.9677515,16182.986,0.00057532627,8256863594.055176,0.0,3895.5532,0.9134013,0.17773676,5.701024,0.7771916,0.7465293,12278.121,0.0027772158,0.54278195,0.39184898,0.05485691,0.0023498682,0.10860498461754804,28181990
799,28029151,0.2872946,-0.6697711,-0.37069818,-4.9588675,4.4264264,-6.796868,16387.477,0.0017321667,12759116172.790527,0.0,3973.9373,2.936665,0.56065094,18.463234,1.2455673,2.039111,12385.152,0.037833374,1.9009391,1.0474083,0.1425297,0.011900539,0.18288591936998627,27949392
800,27726450,0.29379547,-0.7219919,-0.2836569,4.1184883,6.3401437,21.52879,16132.576,0.0004471872,2701778411.8652344,0.0,3874.8298,0.48565176,0.09070403,2.4090798,2.6733167,0.82891816,12250.533,0.0070717954,0.20790415,0.44784722,0.062400497,0.0013868986,0.1435247268408034,27949392
801,27394954,0.34866813,-0.8114395,-0.30846238,3.9461977,-15.909137,7.53574,16295.54,0.0009462559,8471284866.333008,0.0,3935.3223,1.7083983,0.32326224,9.071736,1.2720046,1.3079333,12344.797,0.0019109083,0.929803,0.69632053,0.10617341,0.0022065323,0.1692808382654543,27574434
802,27895198,0.30924585,-0.8274847,-0.28306356,-6.281062,13.012408,31.499022,16118.065,5.9777154e-05,12805394172.668457,0.0,3871.1213,0.14871325,0.021918505,0.5674202,0.048051797,0.06596431,12245.9795,3.317259e-05,0.07232127,0.033039626,0.0054441807,0.0005857365,0.12033531488127669,27574434
803,27829228,0.3005699,-0.940404,-0.30598515,-23.10334,1.3501732,0.080695316,16938.736,0.0057180217,4735910415.649414,0.0,4180.436,9.266538,1.8130566,57.073765,10.209732,8.052367,12661.441,0.061065648,5.515897,4.2434983,0.5956724,0.02446731,0.12438812932422257,27574434
804,28201704,0.2599233,-0.8680449,-0.19239525,11.094541,-7.875751,20.185066,16235.295,0.00092606,2706235885.620117,0.0,3915.633,1.4795059,0.2941106,9.715695,0.7744858,1.131999,12304.627,0.013515722,0.95118123,0.5889533,0.0807102,0.0047003436,0.054547831289140335,27574434
805,27862728,0.25351727,-0.8726499,-0.14997676,9.266253,25.664234,24.736607,17292.766,0.007818753,8904453277.58789,0.0,4315.8374,12.951448,2.5708842,84.413994,9.935622,10.385532,12841.72,0.21476796,8.555916,5.397841,0.7317538,0.05009614,0.08387076757015154,27574434
806,28159214,0.36436778,-0.8925836,-0.12568769,-35.33364,4.435013,36.917255,16082.044,0.0,10108562469.482422,0.0,3859.6904,0.0,0.0,0.0,0.0,0.0,12222.353,0.0,0.0,0.0,0.0,0.0,0.17473650461189202,27574434
807,27797486,0.3166975,-0.83707005,-0.17542247,-12.639485,-21.685066,27.072573,16522.615,0.0018367455,10761590957.641602,0.0,4027.0676,3.8147504,0.6630345,18.150862,1.8565005,2.379129,12465.201,0.00851488,2.0272894,1.2443342,0.19430785,0.009115269,0.1188681845207354,27574434
808,27796227,0.38242117,-0.7226669,-0.2426475,1.5450376,26.662241,11.351957,16238.265,0.0005869406,11684766769.40918,0.0,3913.6726,1.1047151,0.21095285,6.0087614,0.3503347,0.75567853,12315.06,0.00403291,0.63332444,0.3999114,0.0615344,0.0016505878,0.17058281965558877,27949392
809,27693194,0.31363124,-0.6881249,-0.20504066,-4.0406923,-2.2682612,-10.83585,16515.652,0.0026985311,6773594856.262207,0.0,4022.2952,4.4572654,0.86638737,29.303297,1.9459163,3.260387,12448.786,0.015733512,2.789927,1.686192,0.22844312,0.01445296,0.09391255089401279,27949392
