,ID paticle,x (kpc),y (kpc),z (kpc),vx (km/s),vy (km/s),vz (km/s),mass (M_sun),abun_HI,Z,fractional electron number density,gas density (M_sun/kpc**3),internal energy (km/s)**2,sfr (M_sun/yr),abund_He (M_sun),abund_C (M_sun),abund_Mg (M_sun),abund_O (M_sun),abund_Fe (M_sun),abund_Si (M_sun),abund_H (M_sun),abund_N (M_sun),abund_Ne (M_sun),abund_S (M_sun),abund_Ca (M_sun),abund_Zi (M_sun),smoothing_length
1434,2151129464,-3.7966218,6.5507846,0.086159825,-56.750095,79.34837,6.0018067,194459.8,0.01161997,0.03045979,1.1173431,23832.299,240.53299,0.0,53179.77,536.0792,112.65431,3677.2786,451.1947,458.01996,135356.83,25.121338,390.60654,237.99666,31.9911,2.261895,4.335186
1435,3200986,-6.1351614,3.3203301,-0.13972473,-7.7662525,26.566088,18.83225,301682.62,0.06926778,0.0032479018,1.0060081,142591.45,194.1486,0.0,73306.45,82.195335,17.403057,550.71545,133.28629,83.08454,227396.34,4.803609,58.488544,43.615185,5.9133077,0.3302677,2.3357852
1436,2150432627,-6.248806,2.9385052,-0.55384403,-15.415816,37.5635,13.5159645,161176.27,0.10197484,0.009044094,0.976462,223534.83,187.52132,0.0,40629.92,148.11601,28.677889,943.6173,70.816414,110.22782,119088.64,0.48444605,89.93853,57.41421,7.9811893,0.41937533,1.9965447
1437,2848497,-6.8640766,1.3925555,-0.80634665,24.918558,33.368954,-13.074556,319448.88,0.1607774,0.0088538565,0.90799654,410711.3,184.84506,0.0,80120.195,270.35065,55.327263,1845.3811,127.823875,208.27032,236500.34,6.8070474,191.20258,107.63752,14.381983,1.1718724,1.7830535
1438,2943344,-6.690877,1.9362094,-1.1815147,-18.118107,10.802744,6.16492,315038.88,0.19340163,0.0075350604,0.8715311,530409.75,178.93991,0.0,78443.02,222.96559,46.53146,1525.484,124.58294,176.68388,234222.0,9.197203,163.75772,91.38187,12.268494,0.983725,1.6357546
1439,3697227,-6.754432,1.6092186,0.357032,9.304423,8.499734,-20.01744,296910.62,0.13037787,0.001647326,0.9342844,309189.12,187.74889,0.0,71433.625,32.279114,6.1071,156.23312,187.74207,57.877583,224987.9,0.50935376,12.462544,31.416857,4.4313974,0.0494518,1.8126308
1440,2151028783,-5.793153,2.1029232,0.7961844,14.590548,7.171788,4.604258,167320.05,0.14833857,0.014343907,0.924597,375476.97,191.64633,0.0,42878.184,221.91032,44.85377,1455.0897,217.49696,190.68697,122041.836,5.46896,150.67336,99.44238,13.456502,0.9444207,1.6406798
1441,3749799,-5.8458357,2.573692,0.7418058,12.1005,12.22608,20.39384,294864.75,0.12728058,0.0,0.93624264,301059.47,189.12971,0.0,70767.54,0.0,0.0,0.0,0.0,0.0,224097.2,0.0,0.0,0.0,0.0,0.0,1.8244
1442,2150434370,-7.129571,2.6589086,0.50984335,-8.057241,0.9697659,21.723658,172477.19,0.0890394,0.017880527,0.99995035,188278.06,187.20476,0.0,44848.74,283.37598,58.417053,1925.9819,228.25243,238.60448,124544.47,8.388206,199.02371,124.09069,16.646317,1.2023331,2.0161643
1443,2150683868,-7.6135054,1.7555999,-0.07896125,-23.328579,7.6192474,8.77174,187254.75,0.12977847,0.02621582,0.9636312,300591.1,182.27525,0.0,50545.55,448.24167,96.4185,3153.2512,257.72153,363.45438,131800.16,27.152822,348.0264,187.67404,25.052395,2.0441313,1.7161493
1444,2150025611,-7.5141716,1.8904141,0.26572487,6.5646853,-7.9135647,-8.960053,155174.05,0.117739245,0.0028447914,0.95164645,272367.44,190.33344,0.0,38361.81,61.94564,9.104165,266.05298,26.68339,28.398039,116370.8,0.41103774,32.627956,13.829125,2.0341244,0.35134634,1.775786
1445,2150329597,-7.899056,2.1321163,-0.55085105,3.96683,-1.6903347,13.143624,190441.58,0.14830017,0.024697527,0.9449802,353447.62,176.59435,0.0,51763.668,463.8027,93.30654,2973.8726,274.09387,362.77112,133974.47,9.2219305,309.09152,189.31996,26.308117,1.6477752,1.5908889
1446,2150331758,-7.7087274,2.4571483,-0.8093244,-15.077265,-1.5062673,3.0518184,179073.6,0.1184736,0.021855187,0.9717179,267021.16,183.17734,0.0,47492.184,356.28,78.001495,2535.861,176.64398,283.7645,127667.734,29.539057,286.57544,145.93028,19.540833,1.5503018,1.7686158
1447,3149754,-9.187695,2.857804,-0.32909366,22.244076,45.32463,-6.3562145,294864.75,0.082859725,0.0,0.9847545,186394.66,207.95044,0.0,70767.54,0.0,0.0,0.0,0.0,0.0,224097.2,0.0,0.0,0.0,0.0,0.0,2.128605
1448,2150028332,-8.192439,2.8371227,-0.284839,-12.007126,-3.0814734,6.4131756,170057.4,0.1234527,0.01404172,0.9578527,284546.5,185.3022,0.0,44006.11,234.97018,46.949535,1515.8528,134.39091,174.65602,123663.4,9.755849,168.44223,89.645454,12.08115,1.1544977,1.7703741
1449,2150882521,-7.9696565,3.136512,-0.22319326,-25.438175,8.625425,-0.02298963,164832.16,0.09604586,0.011871456,0.9860651,207220.92,187.64183,0.0,41997.316,189.29391,38.520863,1228.7793,123.72647,151.60912,120878.05,4.5896597,129.54025,79.09863,10.912657,0.726884,1.9090215
1450,3299742,-8.193453,2.742175,0.55420613,-23.486423,-16.257912,11.659123,308601.44,0.09154976,0.0063214432,0.98353904,197140.39,190.28125,0.0,75882.04,164.62546,34.732117,1102.9863,259.13715,164.9067,230768.58,8.55946,116.90409,86.55737,11.709924,0.6879381,2.0652235
1451,3051389,-8.164778,4.163353,0.59001684,-42.897636,16.899927,31.246716,301758.53,0.048215576,0.0026273595,1.0312463,93803.734,193.97356,0.0,73390.6,76.0088,15.513745,517.82336,35.496204,58.563236,227575.11,1.6847597,53.05623,30.304066,4.0616217,0.31608224,2.7130048
1452,2151080790,-8.971449,3.5962906,0.66126645,-43.92584,-2.041017,19.089212,203005.67,0.068586685,0.030437974,1.0413722,135301.23,183.37764,0.0,56518.26,605.6003,119.95111,3939.318,362.88376,470.7131,140308.33,8.1811905,391.9258,244.84564,33.52916,2.1332068,2.4014254
1453,2150832474,-9.433748,3.1372583,-0.3416322,26.625069,33.0583,-10.618179,180060.55,0.05401565,0.024138145,1.0453585,126510.92,244.16365,0.0,47667.336,380.01117,80.87702,2592.4526,433.68723,348.7024,128046.87,22.279236,280.23322,181.91798,24.569069,1.5977159,2.4203646
1454,2150132115,-7.0299015,3.4929712,3.3721685,-67.50854,21.23641,54.91885,153036.89,1.3734853e-05,0.0042837984,1.1652976,6805.8745,3521.7122,0.0,37513.973,61.936302,12.850361,423.44763,32.75107,48.89134,114867.34,1.8938631,44.815254,25.32268,3.3956172,0.27502564,6.120912
