,ID paticle,x (kpc),y (kpc),z (kpc),vx (km/s),vy (km/s),vz (km/s),mass (M_sun),abun_HI,Z,fractional electron number density,gas density (M_sun/kpc**3),internal energy (km/s)**2,sfr (M_sun/yr),abund_He (M_sun),abund_C (M_sun),abund_Mg (M_sun),abund_O (M_sun),abund_Fe (M_sun),abund_Si (M_sun),abund_H (M_sun),abund_N (M_sun),abund_Ne (M_sun),abund_S (M_sun),abund_Ca (M_sun),abund_Zi (M_sun),smoothing_length
305,27949587,-0.99249256,1.9932921,-2.424195,-36.847755,-3.0365744,-11.880394,37335.453,0.12358131,0.0017868913,0.94191194,289982.25,189.86076,0.0,9022.121,5.694226,1.140989,35.165493,11.415758,6.054196,28246.613,0.101350926,3.4661999,3.2131736,0.44464508,0.018359821,0.9629651
306,2174927096,-1.1422668,1.9833866,-2.0597513,-31.984077,-14.101152,11.236889,18674.021,0.14802313,0.0015158053,0.91385293,369398.38,188.10263,0.0,4515.784,2.7087698,0.5361295,17.558153,2.2169704,2.219562,14129.931,0.026783232,1.7128601,1.1593416,0.15883276,0.008777266,0.8453084
307,27575020,-1.3554109,2.0632699,-1.9285885,-30.656675,-25.47221,-8.2620535,37236.695,0.17634243,0.0013223778,0.8800565,477538.25,188.00037,0.0,8987.737,4.3940263,0.88789904,29.08458,5.477836,4.044969,28199.717,0.07238399,2.8545957,2.1217456,0.28699127,0.015955847,0.824884
308,2175628246,-1.5910888,1.6368309,-1.8921273,-25.728857,-28.894274,-0.5204216,19574.766,0.17864366,0.007224122,0.8839948,483465.3,186.48749,0.0,4852.5103,13.001577,2.546296,81.22179,17.592772,11.947435,14580.846,0.11067044,7.787479,6.293346,0.8700787,0.039048273,0.77005
309,28168521,-1.3613052,2.1710749,-2.3069923,-38.34405,-14.390161,-0.42849693,36865.215,0.15210491,2.745615e-05,0.907839,383154.1,187.32794,0.0,8848.58,0.085226215,0.017714458,0.5666577,0.14236821,0.08684175,28015.62,0.00255071,0.05854869,0.04573803,0.006168922,0.0003621942,0.8688235
310,27893422,-1.8030794,1.9203194,-2.2631588,-30.78204,-27.292503,-2.7746732,36952.582,0.16804866,0.0002521927,0.88963825,441940.53,186.68942,0.0,8881.947,0.9727481,0.18248354,5.6169395,0.78803694,0.7477486,28061.314,0.002908712,0.55737567,0.3921031,0.05629257,0.0025341243,0.8501536
311,28202792,-1.1523457,2.5759807,-1.7472949,-35.173897,-13.04009,-16.184607,37185.02,0.17925952,0.00080310024,0.8784796,482059.12,184.32877,0.0,8971.72,3.286452,0.6385617,18.602896,1.5052024,2.3792858,28183.436,0.029630834,1.9701115,1.2563404,0.18823281,0.0065842434,0.8494159
312,28072796,-1.1397233,2.4098191,-2.095809,-29.83619,-12.070477,-4.3468337,36858.15,0.15934916,1.4410924e-06,0.89848506,412309.53,188.82303,0.0,8845.943,0.0023975605,0.00042302118,0.007225619,0.030634644,0.00756935,28012.154,1.0671586e-06,0.00012247608,0.0041574305,0.0005846859,1.4564621e-07,0.8750698
313,27344818,-0.98252165,2.7686253,-2.0582964,-31.404705,-11.544458,-9.617074,36910.188,0.13459213,0.00037671367,0.9261691,329655.72,192.69287,0.0,8862.342,0.8787345,0.16564012,4.384047,5.471843,1.6517283,28033.938,0.0042752475,0.32551113,0.89620686,0.124971226,0.0016147175,0.95662016
314,28092477,-0.69935226,2.4169977,-1.819887,-39.20324,-3.9955673,-14.1870775,38679.203,0.11698217,0.0050746063,0.95166117,274343.84,194.701,0.0,9540.381,19.585125,3.8676035,124.72876,11.455099,15.074695,28942.543,0.17991552,12.36563,7.8702188,1.0962678,0.0584142,1.0125786
315,2175098655,0.24416646,2.2872026,-1.5296134,-43.949883,3.9722016,-42.84035,19023.475,0.076080166,0.0033673907,0.9993683,157877.4,191.3328,0.0,4649.938,6.4178486,1.2628611,41.613453,3.0326774,4.8043528,14309.477,0.036213137,4.0282254,2.4998815,0.34504315,0.018920086,1.1181643
316,27443086,-0.112736374,2.2028031,-2.0984418,-32.571518,0.24576972,-23.965288,36889.125,0.066410184,9.8222234e-05,1.0055171,137928.42,198.11786,0.0,8857.722,0.345316,0.0692734,2.3144202,0.22460619,0.2753706,28027.78,0.004109636,0.22644456,0.14323561,0.01935574,0.0012000882,1.2458105
317,2175590995,0.34795803,2.55461,-1.8730468,-44.771187,14.504026,-36.409836,19860.889,0.059454143,0.008657699,1.0234201,119770.555,195.13438,0.0,4965.8247,15.966081,3.3076704,109.71645,10.413781,12.968327,14723.112,0.42330122,11.456351,6.7302547,0.89847714,0.06891612,1.2256705
318,28143457,-0.19330373,2.667389,-2.316294,-36.125156,2.1769698,-29.767313,36885.555,0.06641613,8.882652e-05,1.0058253,137285.5,196.88058,0.0,8856.387,0.3046987,0.06437834,2.14696,0.1390901,0.2392661,28025.89,0.010100807,0.23049806,0.12364497,0.016343933,0.0014344002,1.2686269
319,28005446,-0.008397698,1.6535183,-2.6685863,-24.034464,-7.586198,1.8076785,38150.08,0.040567417,0.0035916967,1.040731,79309.9,200.79565,0.0,9336.32,13.719057,2.6827502,78.665565,14.793339,11.728967,28676.729,0.15459381,8.120721,6.2211056,0.90621406,0.031194836,1.5029349
320,27951424,-0.293257,1.6140819,-1.6967996,-43.33026,-8.471493,-26.782791,39499.285,0.075010546,0.008132124,1.0051339,155141.72,191.17326,0.0,9839.777,29.859552,5.8878756,189.88539,34.66842,26.493807,29338.297,0.25486368,18.229109,13.924612,1.9194458,0.09007207,1.2055707
321,2175405814,-0.7884655,1.0094038,-1.7498186,-25.724833,3.8539608,-24.48669,19567.186,0.12200721,0.007415702,0.9518651,278108.78,183.5237,0.0,4849.323,13.116673,2.6124423,84.43578,17.212337,12.127882,14572.757,0.15409113,8.1496,6.3797817,0.87349576,0.04232181,0.95337015
322,27921641,-0.4561389,1.0627946,-2.1452832,-52.614758,12.894819,-51.831318,38056.875,0.08826892,0.0037032815,0.9855685,190159.03,192.63118,0.0,9298.582,13.313689,2.619275,85.51651,13.035674,11.251703,28617.361,0.13562132,8.329986,5.883624,0.8048052,0.044432543,1.1092558
323,2175486389,0.028099447,0.96890074,-1.8999685,-45.708454,-15.501466,-48.309177,20335.314,0.04895199,0.010701984,1.0399649,93725.56,189.13869,0.0,5147.1,20.91493,4.217402,136.73865,14.626086,16.84923,14970.586,0.34487048,13.862786,8.7944,1.2074869,0.07238936,1.3554919
324,2175173113,-0.2927562,0.88323647,-2.6293216,-11.52083,26.509596,-35.981945,19187.969,0.07800653,0.0042931954,0.99812496,162449.27,190.96048,0.0,4709.86,8.122767,1.5713235,45.92027,10.405249,7.208762,14395.731,0.07638582,4.6700697,3.8284838,0.5561106,0.018277004,1.097227
325,28157380,-0.2788499,0.9736741,-3.1393576,-4.6492853,6.284881,-73.04961,37242.76,0.029362842,0.0012495235,1.0387425,98702.47,372.49887,0.0,8991.752,4.2973843,0.89711666,29.673933,2.810056,3.5116096,28204.47,0.12609449,3.1346364,1.8227036,0.24310721,0.019066427,1.3446927
326,28169181,0.21487403,1.3850107,-3.682385,-23.2459,15.450907,-33.47116,37090.65,0.039862573,0.00073936203,1.0384786,80437.39,209.94777,0.0,8933.924,2.6017115,0.5147798,16.93607,2.2632966,2.1674933,28129.297,0.019999573,1.6232867,1.133581,0.15513995,0.008059312,1.5337752
327,27613143,0.49013957,2.5058644,-3.1838741,-12.176691,12.82626,-40.20441,37625.85,0.058521666,0.0025719604,1.0172583,120152.8,200.996,0.0,9135.708,8.717601,1.8319112,60.32873,7.283838,7.480102,28393.373,0.27887425,6.399819,3.8930268,0.51857823,0.03972099,1.324826
328,28070833,1.2510817,2.6012387,-2.5697432,-19.817131,9.840833,-30.745302,36872.4,0.050535742,4.331093e-05,1.0246562,100897.12,198.85963,0.0,8851.396,0.15718912,0.031001134,1.0556071,0.06661476,0.11708789,28019.4,0.00057688996,0.09957411,0.060648616,0.008184562,0.00049385906,1.4087682
329,28191915,1.0620066,0.99376684,-3.6480052,6.673807,5.7477083,-0.98537856,37202.51,0.06882103,0.0012442458,1.0043752,143089.5,196.92525,0.0,8974.259,4.026599,0.82168674,26.457878,5.961216,3.8982544,28181.963,0.09589208,2.6852891,2.0489447,0.27719337,0.016111761,1.2661273
330,28024607,0.90818,0.99206805,-3.5447989,1.569655,17.780079,-6.650729,36885.676,0.065965176,9.705688e-05,1.0065324,138493.0,201.52661,0.0,8856.242,0.3195253,0.06388129,2.032029,0.47064406,0.305893,28025.85,0.004622044,0.19885318,0.16133244,0.02218872,0.0010398123,1.2711627
331,28129779,1.603339,1.0967221,-2.782397,8.531288,7.6115503,4.662611,37400.316,0.029577715,0.0019165856,1.0531371,55860.895,199.32074,0.0,9047.658,6.3235965,1.2604878,39.406403,10.626936,6.2968326,28280.975,0.093263544,3.860762,3.3317082,0.46105567,0.019858917,1.7060909
